,t_spike,ell_spike,t_seizure,ell_seizure,t_lpd,ell_lpd,t_gpd,ell_gpd,t_lrda,ell_lrda,t_grda,ell_grda
t_spike,0.061329799596862127,-0.19909800112983966,0.11601887181737351,-0.029499655740548133,-0.09924714771821164,-0.44674117834952465,-0.09748320052135358,-0.4471891764849289,-0.03367978364137479,-0.42125076107037657,-0.024264639628621975,-0.4458935477485053
ell_spike,-0.19909800112983966,1.5090915772075217,-0.12484093931205147,1.667777936734102,0.5380888024646576,3.4408764406601353,0.5188948005582357,3.4378280100108185,0.24708354569338925,3.3202732638586943,0.13737872720276745,3.3784416481492836
t_seizure,0.11601887181737351,-0.12484093931205147,0.7231286990602535,0.8492683907787485,-0.17894599884134665,-0.13878133332540663,-0.17263490383165803,-0.12740412500461437,-0.009508366973947115,-0.016107840426867796,-0.016770969826599418,-0.09754536400273146
ell_seizure,-0.029499655740548133,1.667777936734102,0.8492683907787485,3.5042319893531535,0.3680928571488706,4.02915589400126,0.34693955777588015,4.012175543050122,0.2894589862203107,4.015647438519365,0.13802910793786963,3.9312903670213974
t_lpd,-0.09924714771821164,0.5380888024646576,-0.17894599884134665,0.3680928571488706,0.23195354393213394,1.2171498994329448,0.22372875327872144,1.212453314851557,0.08793672281723476,1.1510765663483111,0.05235905597613352,1.1833205464849217
ell_lpd,-0.44674117834952465,3.4408764406601353,-0.13878133332540663,4.02915589400126,1.2171498994329448,7.977127330294223,1.1744335197190126,7.950171158586284,0.5728334639209935,7.695300007541626,0.3188180549372163,7.7834996939181496
t_gpd,-0.09748320052135358,0.5188948005582357,-0.17263490383165803,0.34693955777588015,0.22372875327872144,1.1744335197190126,0.2183324809180431,1.1707361703274117,0.08485141491035171,1.1120504972091274,0.05081885951194665,1.1436406590656842
ell_gpd,-0.4471891764849289,3.4378280100108185,-0.12740412500461437,4.012175543050122,1.212453314851557,7.950171158586284,1.1707361703274117,7.934899101416105,0.5709366098722128,7.681999895641435,0.31794473985461996,7.782493648233198
t_lrda,-0.03367978364137479,0.24708354569338925,-0.009508366973947115,0.2894589862203107,0.08793672281723476,0.5728334639209935,0.08485141491035171,0.5709366098722128,0.04385310845591126,0.5558711262619522,0.02408461458423368,0.5595214245899219
ell_lrda,-0.42125076107037657,3.3202732638586943,-0.016107840426867796,4.015647438519365,1.1510765663483111,7.695300007541626,1.1120504972091274,7.681999895641435,0.5558711262619522,7.475301706410098,0.30754022830193306,7.548995445299803
t_grda,-0.024264639628621975,0.13737872720276745,-0.016770969826599418,0.13802910793786963,0.05235905597613352,0.3188180549372163,0.05081885951194665,0.31794473985461996,0.02408461458423368,0.30754022830193306,0.016696964720546853,0.3127037813547975
ell_grda,-0.4458935477485053,3.3784416481492836,-0.09754536400273146,3.9312903670213974,1.1833205464849217,7.7834996939181496,1.1436406590656842,7.782493648233198,0.5595214245899219,7.548995445299803,0.3127037813547975,7.675507233335754
