seg_id,s_mean,n_raters,pos_rate
20523,-0.8405865975036632,13,0.0
20524,-0.8601776708139128,21,0.0
20527,-0.8601776708139128,21,0.0
20528,-0.8601776708139128,21,0.0
20532,-0.8601776708139128,21,0.0
20533,-0.8601776708139128,21,0.0
20534,-0.8432335413841981,20,0.0
20535,-0.8432335413841981,20,0.0
20537,-0.8432335413841981,20,0.0
20541,-0.8401041330621226,12,0.0
20542,-0.8432335413841981,20,0.0
20544,-0.845171723953377,19,0.0
20545,-0.8424687544870549,17,0.0
20546,-0.8377434374005167,11,0.0
20547,-0.8432335413841981,20,0.0
20548,-0.7048155129870002,20,0.1
20549,-0.8401041330621226,12,0.0
20551,-0.8432335413841981,20,0.0
20552,-0.6737615711011518,13,0.15384615384615385
20554,-0.8432335413841981,20,0.0
20558,-0.8420154532354147,15,0.0
20560,-0.7217800684883501,17,0.058823529411764705
20561,-0.8420154532354147,15,0.0
20563,-0.71561958877687,13,0.07692307692307693
20564,-0.8420154532354147,15,0.0
20565,-0.8405865975036632,13,0.0
20566,-0.8405865975036632,13,0.0
20567,-0.8586227178564826,13,0.0
20568,-0.8432335413841981,20,0.0
20571,-0.8424687544870549,17,0.0
20572,-0.8420154532354147,15,0.0
20573,-0.8432335413841981,20,0.0
20574,-0.8401041330621226,12,0.0
20575,-0.7707471594188167,3,0.0
20576,-0.7707471594188167,3,0.0
20577,-0.7707471594188167,3,0.0
20578,-0.7707471594188167,3,0.0
20579,-0.7249166642840781,20,0.05
20582,-0.7217800684883501,17,0.058823529411764705
20583,-0.8432335413841981,20,0.0
20585,-0.8432335413841981,20,0.0
20586,-0.8401041330621226,12,0.0
20588,-0.8401041330621226,12,0.0
20591,-0.8420154532354147,15,0.0
20592,-0.8586227178564826,13,0.0
20593,-0.8377434374005167,11,0.0
20595,-0.7707471721201129,3,0.0
20596,-0.7707471721201129,3,0.0
20597,-0.7707471721201129,3,0.0
20598,-0.7707471721201129,3,0.0
20599,-0.6743851051976725,5,0.2
20600,-0.7707471721201129,3,0.0
20601,-0.7707471721201129,3,0.0
20602,-0.8405865975036632,13,0.0
20605,-0.8612925338241009,18,0.0
20607,-0.8420154532354147,15,0.0
20609,-0.7733581831510471,3,0.0
20610,-0.7733581831510471,3,0.0
20611,-0.7711311980275308,3,0.0
20612,-0.7711311980275308,3,0.0
20613,-0.7711311980275308,3,0.0
20614,-0.7711311980275308,3,0.0
20615,-0.7711311980275308,3,0.0
20616,-0.7711311980275308,3,0.0
20617,-0.7711311980275308,3,0.0
20618,-0.7711311980275308,3,0.0
20619,-0.7711311980275308,3,0.0
20621,-0.8613498791578582,20,0.0
20622,-0.7707472229816278,3,0.0
20623,-0.7707472229816278,3,0.0
20624,-0.7707472476840472,3,0.0
20625,-0.7707472476840472,3,0.0
20626,-0.7707472476840472,3,0.0
20627,-0.7707472476840472,3,0.0
20628,-0.7707472476840472,3,0.0
20629,-0.7707472476840472,3,0.0
20631,-0.7707472476840472,3,0.0
20632,-0.7707472476840472,3,0.0
20633,-0.7707472476840472,3,0.0
20634,-0.7707472476840472,3,0.0
20635,-0.7707472476840472,3,0.0
20636,-0.8604107005965973,15,0.0
20637,-0.7707471594188167,3,0.0
20638,-0.7707471594188167,3,0.0
20639,-0.7707471594188167,3,0.0
20640,-0.7707471594188167,3,0.0
20641,-0.7707472926118834,3,0.0
20642,-0.7707472926118834,3,0.0
20643,-0.7707472926118834,3,0.0
20644,-0.7707472926118834,3,0.0
20647,-0.7707473684602236,3,0.0
20648,-0.7707473684602236,3,0.0
20649,-0.7707473684602236,3,0.0
20650,-0.7707471483398673,3,0.0
20651,-0.7707471483398673,3,0.0
20652,-0.7707471483398673,3,0.0
20653,-0.7707474857253712,3,0.0
20654,-0.7707474857253712,3,0.0
20655,-0.7707474857253712,3,0.0
20656,-0.7707474857253712,3,0.0
20657,-0.7707474857253712,3,0.0
20658,-0.7707474857253712,3,0.0
20659,-0.7707474857253712,3,0.0
20660,-0.7707474857253712,3,0.0
20661,-0.7707474857253712,3,0.0
20663,-0.7711311980275308,3,0.0
20664,-0.7711311980275308,3,0.0
20665,-0.7711311980275308,3,0.0
20666,-0.7707473741510535,3,0.0
20667,-0.7707473741510535,3,0.0
20668,-0.7707473741510535,3,0.0
20669,-0.7707473741510535,3,0.0
20670,-0.7868286018652164,3,0.0
20671,-0.7707473741510535,3,0.0
20672,-0.7707473741510535,3,0.0
20673,-0.7707473741510535,3,0.0
20674,-0.7707473741510535,3,0.0
20675,-0.7707473741510535,3,0.0
20676,-0.7707473741510535,3,0.0
20677,-0.7707473741510535,3,0.0
20678,-0.7707473741510535,3,0.0
20679,-0.7707473741510535,3,0.0
20680,-0.7707473741510535,3,0.0
20681,-0.7707473741510535,3,0.0
20682,-0.7707473741510535,3,0.0
20683,-0.7707473741510535,3,0.0
20684,-0.7707473741510535,3,0.0
20685,-0.7707473741510535,3,0.0
20686,-0.7707473741510535,3,0.0
20687,-0.7707473741510535,3,0.0
20688,-0.7707473741510535,3,0.0
20689,-0.7707473741510535,3,0.0
20690,-0.7707473741510535,3,0.0
20691,-0.7707473741510535,3,0.0
20692,-0.7707473741510535,3,0.0
20693,-0.7707473741510535,3,0.0
20694,-0.7707473741510535,3,0.0
20695,-0.858621950093167,14,0.0
20696,-0.7707471483398673,3,0.0
20697,-0.7707473684602236,3,0.0
20698,-0.7707473684602236,3,0.0
20699,-0.7707473684602236,3,0.0
20700,-0.7707473684602236,3,0.0
20701,-0.7707473684602236,3,0.0
20702,-0.7707473684602236,3,0.0
20703,-0.7707473684602236,3,0.0
20704,-0.8586223765116915,14,0.0
20705,-0.7707473684602236,3,0.0
20706,-0.6346987344218511,20,0.35
20708,-0.8604107005965973,15,0.0
20709,-0.7707474447593261,3,0.0
20710,-0.7707474447593261,3,0.0
20716,-0.7707472229816278,3,0.0
20717,-0.8612919048103407,19,0.0
20718,-0.7707474857253712,3,0.0
20719,-0.7707474857253712,3,0.0
20720,-0.8584402475060695,12,0.0
20721,-0.7707474447593261,3,0.0
20722,-0.7707474447593261,3,0.0
20723,-0.8021643228263426,3,0.0
20724,-0.8021643228263426,3,0.0
20725,-0.8021643228263426,3,0.0
20726,-0.6340449371138149,13,0.38461538461538464
20727,-0.7707472476840472,3,0.0
20728,-0.7707472476840472,3,0.0
20729,-0.7707472476840472,3,0.0
20730,-0.7707472476840472,3,0.0
20731,-0.7707472926118834,3,0.0
20732,-0.7707472926118834,3,0.0
20733,-0.6772714764411865,13,0.15384615384615385
20734,-0.7711311980275308,3,0.0
20735,-0.7711311980275308,3,0.0
20736,-0.7711311980275308,3,0.0
20737,-0.7711311980275308,3,0.0
20738,-0.7711311980275308,3,0.0
20739,-0.7707473684602236,3,0.0
20740,-0.7707473684602236,3,0.0
20741,-0.770747215655942,3,0.0
20742,-0.770747215655942,3,0.0
20744,-0.7733581831510471,3,0.0
20745,-0.7733581831510471,3,0.0
20746,-0.7733581831510471,3,0.0
20747,-0.7733581831510471,3,0.0
20748,-0.7733581831510471,3,0.0
20749,-0.7733581831510471,3,0.0
20750,-0.7733581831510471,3,0.0
20751,-0.7733581831510471,3,0.0
20752,-0.7733581831510471,3,0.0
20753,-0.7733581831510471,3,0.0
20754,-0.7733581831510471,3,0.0
20755,-0.7733581831510471,3,0.0
20756,-0.7707471483398673,3,0.0
20757,-0.7707471483398673,3,0.0
20758,-0.7707471483398673,3,0.0
20759,-0.7707473491609386,3,0.0
20760,-0.7707473491609386,3,0.0
20761,-0.7707473491609386,3,0.0
20762,-0.7707473741510535,3,0.0
20765,-0.7707472926118834,3,0.0
20766,-0.7707472926118834,3,0.0
20767,-0.6861134440733505,13,0.15384615384615385
20769,-0.7707473304419269,3,0.0
20770,-0.7707471361720244,3,0.0
20771,-0.5376345636131644,20,0.85
20775,-0.7707472796666853,3,0.0
20776,-0.7707472796666853,3,0.0
20777,-0.690496075432617,19,0.10526315789473684
20778,-0.7126029724053058,13,0.07692307692307693
20779,-0.7707474234238596,3,0.0
