b,max_q,offset,seed,n_questions,resolved,stop_reason,min_npt,max_npt
50,300,-0.8,99000,300,5,bank_exhausted,23,84
50,300,-0.8,99001,180,7,all_resolved,20,40
50,300,-0.8,99002,254,7,all_resolved,20,67
50,300,-0.8,99003,300,5,bank_exhausted,20,84
50,300,-0.8,99004,176,7,all_resolved,20,53
50,300,-0.8,99005,300,6,bank_exhausted,20,160
50,300,-0.8,99006,176,7,all_resolved,20,49
50,300,-0.8,99007,199,6,all_active_resolved,20,50
50,300,-0.8,99008,230,7,all_resolved,20,76
50,300,-0.8,99009,186,7,all_resolved,20,60
50,300,-0.8,99010,274,7,all_resolved,20,86
50,300,-0.8,99011,173,6,all_active_resolved,20,50
50,300,-0.8,99012,150,7,all_resolved,20,25
50,300,-0.8,99013,248,6,all_active_resolved,20,69
50,300,-0.8,99014,185,6,all_active_resolved,20,50
50,300,-0.8,99015,226,6,all_active_resolved,20,72
50,300,0.8,99016,300,3,bank_exhausted,20,75
50,300,0.8,99017,300,2,bank_exhausted,23,51
50,300,0.8,99018,300,2,bank_exhausted,31,52
50,300,0.8,99019,202,6,all_active_resolved,20,50
50,300,0.8,99020,249,6,all_active_resolved,20,50
50,300,0.8,99021,300,4,bank_exhausted,24,76
50,300,0.8,99022,300,1,bank_exhausted,31,52
50,300,0.8,99023,300,2,bank_exhausted,20,71
50,300,0.8,99024,300,4,bank_exhausted,27,59
50,300,0.8,99025,300,4,bank_exhausted,20,59
50,300,0.8,99026,300,5,bank_exhausted,20,98
50,300,0.8,99027,300,3,bank_exhausted,22,59
50,300,0.8,99028,300,2,bank_exhausted,24,55
50,300,0.8,99029,281,6,all_active_resolved,20,57
50,300,0.8,99030,300,2,bank_exhausted,20,57
50,300,0.8,99031,300,3,bank_exhausted,24,66
50,500,-0.8,99032,152,7,all_resolved,20,29
50,500,-0.8,99033,215,7,all_resolved,20,53
50,500,-0.8,99034,174,7,all_resolved,20,35
50,500,-0.8,99035,200,7,all_resolved,20,50
50,500,-0.8,99036,192,6,all_active_resolved,20,50
50,500,-0.8,99037,167,7,all_resolved,20,35
50,500,-0.8,99038,216,7,all_resolved,20,54
50,500,-0.8,99039,177,7,all_resolved,20,38
50,500,-0.8,99040,336,7,all_resolved,25,130
50,500,-0.8,99041,152,7,all_resolved,20,32
50,500,-0.8,99042,248,7,all_resolved,21,74
50,500,-0.8,99043,146,7,all_resolved,20,23
50,500,-0.8,99044,221,6,all_active_resolved,20,57
50,500,-0.8,99045,150,7,all_resolved,20,25
50,500,-0.8,99046,199,7,all_resolved,20,59
50,500,-0.8,99047,196,6,all_active_resolved,20,50
50,500,0.8,99048,262,6,all_active_resolved,20,70
50,500,0.8,99049,350,3,bank_exhausted,20,69
50,500,0.8,99050,350,5,bank_exhausted,22,95
50,500,0.8,99051,319,6,all_active_resolved,20,95
50,500,0.8,99052,350,2,bank_exhausted,33,77
50,500,0.8,99053,350,5,bank_exhausted,23,126
50,500,0.8,99054,294,6,all_active_resolved,23,79
50,500,0.8,99055,350,3,bank_exhausted,20,85
50,500,0.8,99056,213,6,all_active_resolved,20,50
50,500,0.8,99057,304,7,all_resolved,21,124
50,500,0.8,99058,269,6,all_active_resolved,21,57
50,500,0.8,99059,350,5,bank_exhausted,29,80
50,500,0.8,99060,350,3,bank_exhausted,20,90
50,500,0.8,99061,350,4,bank_exhausted,20,112
50,500,0.8,99062,283,6,all_active_resolved,20,72
50,500,0.8,99063,262,6,all_active_resolved,25,52
50,700,-0.8,99064,334,6,all_active_resolved,22,175
50,700,-0.8,99065,219,7,all_resolved,20,66
50,700,-0.8,99066,322,6,all_active_resolved,21,132
50,700,-0.8,99067,170,6,all_active_resolved,20,50
50,700,-0.8,99068,195,7,all_resolved,20,40
50,700,-0.8,99069,158,7,all_resolved,20,28
50,700,-0.8,99070,192,6,all_active_resolved,20,50
50,700,-0.8,99071,197,7,all_resolved,20,47
50,700,-0.8,99072,320,6,all_active_resolved,22,120
50,700,-0.8,99073,205,7,all_resolved,20,71
50,700,-0.8,99074,189,7,all_resolved,20,66
50,700,-0.8,99075,178,6,all_active_resolved,20,50
50,700,-0.8,99076,201,7,all_resolved,20,52
50,700,-0.8,99077,141,7,all_resolved,20,21
50,700,-0.8,99078,252,6,all_active_resolved,20,59
50,700,-0.8,99079,181,7,all_resolved,20,38
50,700,0.8,99080,350,3,bank_exhausted,20,75
50,700,0.8,99081,350,4,bank_exhausted,20,104
50,700,0.8,99082,350,3,bank_exhausted,24,84
50,700,0.8,99083,350,2,bank_exhausted,28,66
50,700,0.8,99084,350,2,bank_exhausted,23,71
50,700,0.8,99085,350,5,bank_exhausted,20,91
50,700,0.8,99086,258,7,all_resolved,21,70
50,700,0.8,99087,350,3,bank_exhausted,24,76
50,700,0.8,99088,350,5,bank_exhausted,20,123
50,700,0.8,99089,350,2,bank_exhausted,29,60
50,700,0.8,99090,350,3,bank_exhausted,24,70
50,700,0.8,99091,350,2,bank_exhausted,27,64
50,700,0.8,99092,350,3,bank_exhausted,20,98
50,700,0.8,99093,350,1,bank_exhausted,35,72
50,700,0.8,99094,350,4,bank_exhausted,27,68
50,700,0.8,99095,287,6,all_active_resolved,20,83
100,300,-0.8,99096,156,7,all_resolved,20,30
100,300,-0.8,99097,243,7,all_resolved,20,96
100,300,-0.8,99098,300,4,bank_exhausted,20,100
100,300,-0.8,99099,300,4,bank_exhausted,20,100
100,300,-0.8,99100,300,6,bank_exhausted,20,75
100,300,-0.8,99101,221,6,all_active_resolved,20,100
100,300,-0.8,99102,199,7,all_resolved,20,45
100,300,-0.8,99103,257,7,all_resolved,20,77
