seg_id,s_mean,s_sd,n_raters,pos_rate
20523,-2.061977285344038,0.6071229394240213,13,0.0
20524,-2.1422948073117265,0.6244210762594435,21,0.0
20527,-2.1422948073117265,0.6244210762594435,21,0.0
20528,-2.1422948073117265,0.6244210762594435,21,0.0
20532,-2.1722468658818226,0.3651395801427424,69,0.043478260869565216
20533,-2.7959311075412394,0.7255373058948507,73,0.0136986301369863
20534,-2.099014184757799,0.6013559030144036,20,0.0
20535,-2.380657909463559,0.4617899471321022,80,0.025
20537,-2.5706259607196387,0.6819701274508989,55,0.01818181818181818
20541,-2.0571449257675507,0.6061222405220525,12,0.0
20542,-2.099014184757799,0.6013559030144036,20,0.0
20544,-2.112296863435929,0.6018618256214494,19,0.0
20545,-2.898483895143511,0.9270493010820173,55,0.0
20546,-2.045272704722835,0.6010476173137506,11,0.0
20547,-2.099014184757799,0.6013559030144036,20,0.0
20548,-1.5360390029235562,0.16064331855294392,20,0.1
20549,-2.0571449257675507,0.6061222405220525,12,0.0
20551,-2.099014184757799,0.6013559030144036,20,0.0
20552,-1.3533281188289776,0.17435975777250723,13,0.15384615384615385
20554,-1.892441909902105,0.22624446114859914,58,0.05172413793103448
20558,-3.2111485939206164,0.8891956058492371,72,0.0
20560,-1.6495549189188494,0.2058525019508711,17,0.058823529411764705
20561,-1.9361405909183205,0.275570295009403,52,0.07692307692307693
20563,-1.6061536623654504,0.21350440277788635,13,0.07692307692307693
20564,-2.0809086650309916,0.6037684184335836,15,0.0
20565,-2.061977285344038,0.6071229394240213,13,0.0
20566,-2.061977285344038,0.6071229394240213,13,0.0
20567,-2.063221575766672,0.6284144558230776,13,0.0
20568,-2.099014184757799,0.6013559030144036,20,0.0
20571,-2.0889925350056666,0.6029336993114227,17,0.0
20572,-2.3723447225249985,0.4471761521094045,74,0.02702702702702703
20573,-2.026393548745689,0.26522414542646927,84,0.023809523809523808
20574,-2.0571449257675507,0.6061222405220525,12,0.0
20578,-2.66709203373547,0.6301771241794272,63,0.015873015873015872
20579,-1.65170009332998,0.1940226369638365,20,0.05
20582,-1.6495549189188494,0.2058525019508711,17,0.058823529411764705
20583,-2.4612540695053418,0.6574855750907841,63,0.015873015873015872
20585,-2.099014184757799,0.6013559030144036,20,0.0
20586,-2.0571449257675507,0.6061222405220525,12,0.0
20588,-1.793411256672545,0.18600551642847185,61,0.09836065573770492
20591,-2.0809086650309916,0.6037684184335836,15,0.0
20592,-2.063221575766672,0.6284144558230776,13,0.0
20593,-2.497926716260891,0.6217394482880706,58,0.017241379310344827
20597,-1.7470646512382002,0.20041806946282864,58,0.08620689655172414
20599,-1.5490882584639014,0.1272520747056839,77,0.11688311688311688
20600,-1.5810159907271013,0.08985139099984038,184,0.125
20602,-2.9299063377659462,0.999811486964749,49,0.0
20605,-2.110371767744478,0.6196674546488313,18,0.0
20607,-2.0809086650309916,0.6037684184335836,15,0.0
20621,-2.113598744801622,0.619483277172249,19,0.0
20632,-2.8195780916912097,0.9465289638405486,29,0.0
20636,-2.0830789871108837,0.6304864032090985,15,0.0
20639,-3.3051592170454045,0.9179581353029861,69,0.0
20658,-3.554154947237255,0.9405371241992933,68,0.0
20664,-1.182460089413324,0.14409446576527998,34,0.23529411764705882
20670,-1.772753985452264,0.6404917277630395,3,0.0
20692,-0.9873823408635831,0.09289717674289069,76,0.3026315789473684
20695,-2.063221575766672,0.6284144558230776,13,0.0
20704,-2.063221575766672,0.6284144558230776,13,0.0
20706,-1.0830374388489554,0.12450281068699458,19,0.3684210526315789
20708,-2.0830789871108837,0.6304864032090985,15,0.0
20717,-2.110371767744478,0.6196674546488313,18,0.0
20720,-2.05460168089969,0.62834159192839,12,0.0
20723,-1.7923996294023898,0.6615533998845692,3,0.0
20724,-1.7923996294023898,0.6615533998845692,3,0.0
20725,-1.7923996294023898,0.6615533998845692,3,0.0
20726,-1.0489437853409846,0.14853342823892957,13,0.38461538461538464
20733,-1.3734578238401263,0.17768749154779528,13,0.15384615384615385
20737,-2.0978410509172947,0.33271948946806695,65,0.03076923076923077
20753,-2.515303809377615,0.5805796670714519,55,0.01818181818181818
20767,-1.400617978987691,0.18256524478350855,13,0.15384615384615385
20771,-0.3608319669034937,0.19431614419401907,19,0.8947368421052632
20777,-1.465839612915893,0.16421042313606335,18,0.1111111111111111
20778,-1.5699980202484598,0.22551698293413966,13,0.07692307692307693
