,t_spike,l_spike,t_seizure,l_seizure,t_lpd,l_lpd,t_gpd,l_gpd,t_lrda,l_lrda,t_grda,l_grda
t_spike,1.0,-0.04235807575652756,0.05397715525200402,-0.03769281277207158,-0.0009771875950285937,-0.20068642684834462,-0.0007308696843573205,-0.2215950244909484,-0.0019298519062830376,-0.1900381732041994,-0.002265103867777088,-0.23362585603547573
l_spike,-0.04235807575652756,1.0,-0.2750447205192518,0.35626987177528896,0.004915657049231454,0.47025,0.003402131328048569,0.47025,-0.004203625700201976,0.47025,0.00045790061968648975,0.47025
t_seizure,0.05397715525200402,-0.2750447205192518,1.0,0.3055500395088063,0.0004719170976766083,-0.47025,0.0008669403978584526,-0.47025,0.003348971307182166,0.04881018159311698,-0.005036568776146918,-0.002462597342744142
l_seizure,-0.03769281277207158,0.35626987177528896,0.3055500395088063,1.0,0.0020737719588162715,0.47025,0.000433048618602044,0.47025,0.008582585345878184,0.47025,-0.006363866328146391,0.47025
t_lpd,-0.0009771875950285937,0.004915657049231454,0.0004719170976766083,0.0020737719588162715,1.0,0.003328208728456937,0.0008003431869848477,0.001770433509154712,0.0007587272459361001,0.0016789638672158717,0.0006601507940654428,0.0015745276813132752
l_lpd,-0.20068642684834462,0.47025,-0.47025,0.47025,0.003328208728456937,1.0,0.001991991898944937,0.47025,0.005018529419722655,0.47025,0.011647845225556579,0.47025
t_gpd,-0.0007308696843573205,0.003402131328048569,0.0008669403978584526,0.000433048618602044,0.0008003431869848477,0.001991991898944937,1.0,0.0019028591933823026,0.0008032482783865998,0.002909735741136836,0.0005344349627928357,0.0006263444301458458
l_gpd,-0.2215950244909484,0.47025,-0.47025,0.47025,0.001770433509154712,0.47025,0.0019028591933823026,1.0,0.0043552919666008105,0.47025,0.010386330729619435,0.47025
t_lrda,-0.0019298519062830376,-0.004203625700201976,0.003348971307182166,0.008582585345878184,0.0007587272459361001,0.005018529419722655,0.0008032482783865998,0.0043552919666008105,1.0,0.017787160722173026,0.00143768185113383,0.003927837276602772
l_lrda,-0.1900381732041994,0.47025,0.04881018159311698,0.47025,0.0016789638672158717,0.47025,0.002909735741136836,0.47025,0.017787160722173026,1.0,0.0042943323138956374,0.47025
t_grda,-0.002265103867777088,0.00045790061968648975,-0.005036568776146918,-0.006363866328146391,0.0006601507940654428,0.011647845225556579,0.0005344349627928357,0.010386330729619435,0.00143768185113383,0.0042943323138956374,1.0,0.007782023551691651
l_grda,-0.23362585603547573,0.47025,-0.002462597342744142,0.47025,0.0015745276813132752,0.47025,0.0006263444301458458,0.47025,0.003927837276602772,0.47025,0.007782023551691651,1.0
