extset_user_id,new_rater_id
2,10000002
26,10000026
1196,10001196
7884,10007884
31969,10031969
43096,10043096
43379,10043379
44047,10044047
44264,10044264
44529,10044529
46967,10046967
54950,10054950
60070,10060070
63379,10063379
65588,10065588
65621,10065621
69061,10069061
74372,10074372
75969,10075969
112839,10112839
119623,10119623
121476,10121476
123180,10123180
123559,10123559
123848,10123848
127225,10127225
131059,10131059
132535,10132535
133101,10133101
139516,10139516
147231,10147231
147908,10147908
154419,10154419
158850,10158850
159195,10159195
171119,10171119
177062,10177062
180994,10180994
181335,10181335
185441,10185441
187180,10187180
189963,10189963
191971,10191971
195961,10195961
202841,10202841
209011,10209011
216590,10216590
218955,10218955
225288,10225288
226864,10226864
235741,10235741
242033,10242033
242375,10242375
256615,10256615
258421,10258421
260963,10260963
262204,10262204
264963,10264963
268686,10268686
268689,10268689
270392,10270392
270967,10270967
273445,10273445
274523,10274523
277850,10277850
280197,10280197
282558,10282558
291950,10291950
292356,10292356
292444,10292444
292933,10292933
293817,10293817
295478,10295478
295616,10295616
295624,10295624
296241,10296241
299374,10299374
299866,10299866
305108,10305108
314189,10314189
315556,10315556
316516,10316516
316710,10316710
317891,10317891
318624,10318624
318693,10318693
319661,10319661
322125,10322125
323079,10323079
326041,10326041
327093,10327093
329173,10329173
331025,10331025
332125,10332125
335323,10335323
339408,10339408
339686,10339686
340774,10340774
340866,10340866
340986,10340986
341549,10341549
343797,10343797
345499,10345499
348570,10348570
349681,10349681
351833,10351833
351834,10351834
353214,10353214
354828,10354828
357322,10357322
357603,10357603
358060,10358060
358907,10358907
360041,10360041
360169,10360169
363431,10363431
363653,10363653
363949,10363949
364382,10364382
364462,10364462
364505,10364505
367171,10367171
368458,10368458
370506,10370506
370584,10370584
371504,10371504
371535,10371535
371899,10371899
372514,10372514
376803,10376803
377009,10377009
377131,10377131
380157,10380157
381562,10381562
382225,10382225
383439,10383439
383578,10383578
385640,10385640
385861,10385861
387958,10387958
388028,10388028
389034,10389034
389530,10389530
389808,10389808
393316,10393316
393526,10393526
394063,10394063
395043,10395043
395045,10395045
396322,10396322
397272,10397272
398119,10398119
401542,10401542
401878,10401878
403209,10403209
404030,10404030
404880,10404880
404941,10404941
404989,10404989
405558,10405558
405999,10405999
406067,10406067
406335,10406335
406396,10406396
406687,10406687
407905,10407905
409029,10409029
410229,10410229
410378,10410378
410463,10410463
410586,10410586
410589,10410589
410661,10410661
410669,10410669
410938,10410938
411214,10411214
411261,10411261
411486,10411486
412853,10412853
413098,10413098
415361,10415361
415711,10415711
415824,10415824
417255,10417255
417588,10417588
418027,10418027
418820,10418820
420976,10420976
421122,10421122
423724,10423724
426774,10426774
426874,10426874
427026,10427026
427272,10427272
427522,10427522
427523,10427523
427824,10427824
428036,10428036
430213,10430213
431242,10431242
432596,10432596
433291,10433291
433815,10433815
436034,10436034
436223,10436223
436777,10436777
437411,10437411
437599,10437599
438239,10438239
441554,10441554
442392,10442392
442462,10442462
445500,10445500
445713,10445713
445849,10445849
445892,10445892
446003,10446003
446198,10446198
447302,10447302
447541,10447541
449146,10449146
449789,10449789
450160,10450160
452176,10452176
452632,10452632
453167,10453167
454972,10454972
455430,10455430
456497,10456497
457754,10457754
457757,10457757
459512,10459512
461482,10461482
461485,10461485
462070,10462070
462610,10462610
463110,10463110
463786,10463786
464310,10464310
467218,10467218
467287,10467287
467362,10467362
468188,10468188
468317,10468317
469638,10469638
469845,10469845
471634,10471634
472978,10472978
474366,10474366
474871,10474871
475646,10475646
477552,10477552
479788,10479788
481254,10481254
483852,10483852
484770,10484770
484801,10484801
487681,10487681
488940,10488940
489184,10489184
489707,10489707
490047,10490047
490406,10490406
491072,10491072
492451,10492451
492981,10492981
493926,10493926
497517,10497517
498173,10498173
499508,10499508
499546,10499546
499684,10499684
501111,10501111
502081,10502081
504058,10504058
504297,10504297
504414,10504414
504641,10504641
504728,10504728
504969,10504969
505727,10505727
505854,10505854
506307,10506307
506312,10506312
507300,10507300
507517,10507517
507674,10507674
507875,10507875
507897,10507897
508039,10508039
508744,10508744
508745,10508745
508956,10508956
508965,10508965
509395,10509395
511270,10511270
511354,10511354
512368,10512368
512889,10512889
513496,10513496
514658,10514658
514731,10514731
514758,10514758
516714,10516714
517730,10517730
517927,10517927
518455,10518455
518592,10518592
519234,10519234
519297,10519297
519844,10519844
520589,10520589
521473,10521473
521719,10521719
523763,10523763
523812,10523812
524048,10524048
524893,10524893
524966,10524966
525212,10525212
525327,10525327
526153,10526153
526838,10526838
527832,10527832
528018,10528018
528824,10528824
528880,10528880
530936,10530936
531182,10531182
531782,10531782
532077,10532077
532292,10532292
533257,10533257
533266,10533266
533775,10533775
534165,10534165
534403,10534403
534674,10534674
537189,10537189
537307,10537307
538604,10538604
542409,10542409
543186,10543186
543288,10543288
544224,10544224
545514,10545514
545704,10545704
545920,10545920
547555,10547555
548261,10548261
549597,10549597
550438,10550438
551978,10551978
552120,10552120
552947,10552947
553255,10553255
553437,10553437
554066,10554066
555991,10555991
556359,10556359
557450,10557450
557685,10557685
558034,10558034
559265,10559265
559443,10559443
560584,10560584
560658,10560658
561246,10561246
561788,10561788
562422,10562422
562747,10562747
562756,10562756
563331,10563331
564279,10564279
564286,10564286
565246,10565246
565263,10565263
566163,10566163
566283,10566283
566370,10566370
566739,10566739
567616,10567616
568295,10568295
569432,10569432
569668,10569668
570326,10570326
570381,10570381
571118,10571118
572023,10572023
572112,10572112
572722,10572722
572980,10572980
573531,10573531
573642,10573642
574073,10574073
574935,10574935
574948,10574948
575292,10575292
575298,10575298
576334,10576334
576663,10576663
578000,10578000
578243,10578243
578497,10578497
578766,10578766
578973,10578973
579427,10579427
579547,10579547
579702,10579702
580597,10580597
580746,10580746
580853,10580853
580964,10580964
581407,10581407
582334,10582334
582929,10582929
583032,10583032
583107,10583107
584042,10584042
584383,10584383
584675,10584675
585413,10585413
585806,10585806
586308,10586308
586396,10586396
587421,10587421
587724,10587724
588266,10588266
588731,10588731
589324,10589324
590196,10590196
591096,10591096
592156,10592156
592347,10592347
592683,10592683
593236,10593236
594185,10594185
594187,10594187
594391,10594391
594506,10594506
594521,10594521
594753,10594753
594820,10594820
595631,10595631
596773,10596773
596797,10596797
596802,10596802
597376,10597376
597886,10597886
598814,10598814
598848,10598848
598885,10598885
599287,10599287
599719,10599719
599814,10599814
599903,10599903
599968,10599968
600024,10600024
600039,10600039
600056,10600056
600128,10600128
600264,10600264
600349,10600349
601052,10601052
601368,10601368
601639,10601639
601918,10601918
602141,10602141
602353,10602353
602392,10602392
602464,10602464
602486,10602486
602508,10602508
602632,10602632
602768,10602768
602829,10602829
602929,10602929
602990,10602990
603032,10603032
603142,10603142
603472,10603472
603490,10603490
603601,10603601
603674,10603674
603693,10603693
603746,10603746
603748,10603748
603919,10603919
604031,10604031
604272,10604272
604478,10604478
604555,10604555
604775,10604775
604804,10604804
604914,10604914
605156,10605156
605215,10605215
605248,10605248
605319,10605319
605360,10605360
605511,10605511
605581,10605581
605631,10605631
605695,10605695
605778,10605778
605792,10605792
605833,10605833
605875,10605875
606008,10606008
606098,10606098
606111,10606111
606202,10606202
606228,10606228
606305,10606305
606309,10606309
606334,10606334
606354,10606354
606561,10606561
606570,10606570
606597,10606597
606604,10606604
606732,10606732
606748,10606748
607084,10607084
607157,10607157
607212,10607212
607266,10607266
607322,10607322
607384,10607384
607407,10607407
607412,10607412
607456,10607456
607510,10607510
607514,10607514
607521,10607521
607547,10607547
607569,10607569
607580,10607580
607645,10607645
607665,10607665
607669,10607669
607688,10607688
607707,10607707
607715,10607715
607718,10607718
607736,10607736
607746,10607746
607756,10607756
607775,10607775
607784,10607784
607791,10607791
607795,10607795
607801,10607801
607802,10607802
607813,10607813
607814,10607814
607823,10607823
607826,10607826
607827,10607827
607840,10607840
607856,10607856
607860,10607860
607869,10607869
607887,10607887
607892,10607892
607907,10607907
607916,10607916
607926,10607926
607929,10607929
607934,10607934
607936,10607936
607941,10607941
607942,10607942
607952,10607952
607963,10607963
607981,10607981
607994,10607994
607998,10607998
608004,10608004
608014,10608014
608018,10608018
608025,10608025
608031,10608031
608033,10608033
608057,10608057
608060,10608060
608074,10608074
608076,10608076
