seg_id,s_mean,n_raters,pos_rate
20523,-1.006808381992819,13,0.0
20524,-1.1420235019132758,21,0.0
20527,-1.1420235019132758,21,0.0
20528,-1.1420235019132758,21,0.0
20532,-1.1420235019132758,21,0.0
20533,0.2886170210430816,21,0.2857142857142857
20534,-1.1144905448601803,20,0.0
20535,-1.1144905448601803,20,0.0
20537,-0.4463823270492893,20,0.05
20541,-0.998397807574309,12,0.0
20542,-1.1144905448601803,20,0.0
20544,0.8948774885735415,19,0.631578947368421
20545,-1.0661832445454529,17,0.0
20546,-0.9455756391335257,11,0.0
20547,-1.1144905448601803,20,0.0
20548,-1.1144905448601803,20,0.0
20549,-0.998397807574309,12,0.0
20551,-1.1144905448601803,20,0.0
20552,-1.1972008943052077,13,0.0
20554,-1.1144905448601803,20,0.0
20558,-1.0216616546061263,15,0.0
20560,-1.0661832445454529,17,0.0
20561,-1.0216616546061263,15,0.0
20563,-1.006808381992819,13,0.0
20564,-1.0216616546061263,15,0.0
20565,-1.006808381992819,13,0.0
20566,-1.006808381992819,13,0.0
20567,-1.1972008943052077,13,0.0
20568,-1.1144905448601803,20,0.0
20571,-1.0661832445454529,17,0.0
20572,-1.0216616546061263,15,0.0
20573,-1.1144905448601803,20,0.0
20574,-0.998397807574309,12,0.0
20575,0.747235534883029,3,1.0
20576,0.747235534883029,3,1.0
20577,0.747235534883029,3,1.0
20578,0.747235534883029,3,1.0
20579,-1.1144905448601803,20,0.0
20582,-1.0661832445454529,17,0.0
20583,-1.1144905448601803,20,0.0
20585,-1.1144905448601803,20,0.0
20586,-0.3156469086515298,12,0.08333333333333333
20588,-0.998397807574309,12,0.0
20591,-1.0216616546061263,15,0.0
20592,-1.1972008943052077,13,0.0
20593,-0.10443234583164561,11,0.09090909090909091
20595,0.7472299504286449,3,1.0
20596,0.7472299504286449,3,1.0
20597,0.7472299504286449,3,1.0
20598,0.7472299504286449,3,1.0
20599,0.35593033152421816,5,0.6
20600,0.7472299504286449,3,1.0
20601,0.7472299504286449,3,1.0
20602,-1.006808381992819,13,0.0
20605,-1.2482008728295777,18,0.0
20607,-1.0216616546061263,15,0.0
20609,0.7771347747583993,3,1.0
20610,0.7771347747583993,3,1.0
20611,0.7473532668778307,3,1.0
20612,0.7473532668778307,3,1.0
20613,0.7473532668778307,3,1.0
20614,0.7473532668778307,3,1.0
20615,0.7473532668778307,3,1.0
20616,0.7473532668778307,3,1.0
20617,0.7473532668778307,3,1.0
20618,0.7473532668778307,3,1.0
20619,0.7473532668778307,3,1.0
20621,-0.5326738841278531,20,0.1
20622,0.7472348146611576,3,1.0
20623,0.7472348146611576,3,1.0
20624,0.7472378238128572,3,1.0
20625,0.7472378238128572,3,1.0
20626,0.7472378238128572,3,1.0
20627,0.7472378238128572,3,1.0
20628,0.7472378238128572,3,1.0
20629,0.7472378238128572,3,1.0
20631,0.7472378238128572,3,1.0
20632,0.7472378238128572,3,1.0
20633,0.7472378238128572,3,1.0
20634,0.7472378238128572,3,1.0
20635,0.7472378238128572,3,1.0
20636,-1.2315827098049523,15,0.0
20637,0.747235534883029,3,1.0
20638,0.747235534883029,3,1.0
20639,0.747235534883029,3,1.0
20640,0.747235534883029,3,1.0
20641,0.7472419861736511,3,1.0
20642,0.7472419861736511,3,1.0
20643,0.7472419861736511,3,1.0
20644,0.7472419861736511,3,1.0
20647,0.7472321249499752,3,1.0
20648,0.7472321249499752,3,1.0
20649,0.7472321249499752,3,1.0
20650,0.7472308244025163,3,1.0
20651,0.7472308244025163,3,1.0
20652,0.7472308244025163,3,1.0
20653,0.7472321006551941,3,1.0
20654,0.7472321006551941,3,1.0
20655,0.7472321006551941,3,1.0
20656,0.7472321006551941,3,1.0
20657,0.7472321006551941,3,1.0
20658,0.7472321006551941,3,1.0
20659,0.7472321006551941,3,1.0
20660,0.7472321006551941,3,1.0
20661,0.7472321006551941,3,1.0
20663,0.7473532668778307,3,1.0
20664,0.7473532668778307,3,1.0
20665,0.7473532668778307,3,1.0
20666,0.7472331099602851,3,1.0
20667,0.7472331099602851,3,1.0
20668,0.7472331099602851,3,1.0
20669,0.7472331099602851,3,1.0
20670,-0.7201488551911984,3,0.0
20671,0.7472331099602851,3,1.0
20672,0.7472331099602851,3,1.0
20673,0.7472331099602851,3,1.0
20674,0.7472331099602851,3,1.0
20675,0.7472331099602851,3,1.0
20676,0.7472331099602851,3,1.0
20677,0.7472331099602851,3,1.0
20678,0.7472331099602851,3,1.0
20679,0.7472331099602851,3,1.0
20680,0.7472331099602851,3,1.0
20681,0.7472331099602851,3,1.0
20682,0.7472331099602851,3,1.0
20683,0.7472331099602851,3,1.0
20684,0.7472331099602851,3,1.0
20685,0.7472331099602851,3,1.0
20686,0.7472331099602851,3,1.0
20687,0.7472331099602851,3,1.0
20688,0.7472331099602851,3,1.0
20689,0.7472331099602851,3,1.0
20690,0.7472331099602851,3,1.0
20691,0.7472331099602851,3,1.0
20692,0.7472331099602851,3,1.0
20693,0.7472331099602851,3,1.0
20694,0.7472331099602851,3,1.0
20695,0.3521130837544012,14,0.42857142857142855
20696,0.7472308244025163,3,1.0
20697,0.7472321249499752,3,1.0
20698,0.7472321249499752,3,1.0
20699,0.7472321249499752,3,1.0
20700,0.7472321249499752,3,1.0
20701,0.7472321249499752,3,1.0
20702,0.7472321249499752,3,1.0
20703,0.7472321249499752,3,1.0
20704,-1.007362848965822,14,0.07142857142857142
20705,0.7472321249499752,3,1.0
20706,0.2277348252070827,20,0.45
20708,-1.2315827098049523,15,0.0
20709,0.7472397438598674,3,1.0
20710,0.7472397438598674,3,1.0
20716,0.7472348146611576,3,1.0
20717,0.443394927183732,19,0.5263157894736842
20718,0.7472321006551941,3,1.0
20719,0.7472321006551941,3,1.0
20720,-1.189384327759493,12,0.0
20721,0.7472397438598674,3,1.0
20722,0.7472397438598674,3,1.0
20723,1.5428120749612222,3,1.0
20724,1.5428120749612222,3,1.0
20725,1.5428120749612222,3,1.0
20726,0.30133943417074854,13,0.3076923076923077
20727,0.7472378238128572,3,1.0
20728,0.7472378238128572,3,1.0
20729,0.7472378238128572,3,1.0
20730,0.7472378238128572,3,1.0
20731,0.7472419861736511,3,1.0
20732,0.7472419861736511,3,1.0
20733,-1.1972008943052077,13,0.0
20734,0.7473532668778307,3,1.0
20735,0.7473532668778307,3,1.0
20736,0.7473532668778307,3,1.0
20737,0.7473532668778307,3,1.0
20738,0.7473532668778307,3,1.0
20739,0.7472321249499752,3,1.0
20740,0.7472321249499752,3,1.0
20741,0.7472340520792591,3,1.0
20742,0.7472340520792591,3,1.0
20744,0.7771347747583993,3,1.0
20745,0.7771347747583993,3,1.0
20746,0.7771347747583993,3,1.0
20747,0.7771347747583993,3,1.0
20748,0.7771347747583993,3,1.0
20749,0.7771347747583993,3,1.0
20750,0.7771347747583993,3,1.0
20751,0.7771347747583993,3,1.0
20752,0.7771347747583993,3,1.0
20753,0.7771347747583993,3,1.0
20754,0.7771347747583993,3,1.0
20755,0.7771347747583993,3,1.0
20756,0.7472308244025163,3,1.0
20757,0.7472308244025163,3,1.0
20758,0.7472308244025163,3,1.0
20759,0.7472429862937833,3,1.0
20760,0.7472429862937833,3,1.0
20761,0.7472429862937833,3,1.0
20762,0.7472331099602851,3,1.0
20765,0.7472419861736511,3,1.0
20766,0.7472419861736511,3,1.0
20767,-1.1972008943052077,13,0.0
20769,0.7472424388824979,3,1.0
20770,0.7472333017855042,3,1.0
20771,-0.5472733378771762,20,0.1
20775,0.7472410748514572,3,1.0
20776,0.7472410748514572,3,1.0
20777,-0.5667218540723046,19,0.05263157894736842
20778,-1.1972008943052077,13,0.0
20779,-1.0805656359153557,3,0.0
20780,0.7472346014339808,3,1.0
20781,0.7472346014339808,3,1.0
20782,0.7472346014339808,3,1.0
20783,0.7472346014339808,3,1.0
20784,0.7472346014339808,3,1.0
20785,0.7472346014339808,3,1.0
20786,-1.1972008943052077,13,0.0
20788,-0.569480752360662,19,0.05263157894736842
20789,0.7472346014339808,3,1.0
20790,0.35593105460489527,5,0.6
20791,0.7472346014339808,3,1.0
20792,0.7472346014339808,3,1.0
20793,0.35593033152421816,5,0.6
20794,0.74723210756198,3,1.0
20795,-0.8382491790421177,14,0.07142857142857142
20796,0.35593065722627326,5,0.6
20797,0.74723210756198,3,1.0
20798,0.74723210756198,3,1.0
20800,-0.8919781108241467,3,0.0
20802,-1.1390802400919524,3,0.0
20804,-1.4173415900405688,3,0.0
20806,-0.731901728541232,3,0.0
20807,-0.731901728541232,3,0.0
20808,-0.731901728541232,3,0.0
20810,-0.7032580074935438,3,0.0
20811,-0.7925847239862032,3,0.0
20814,-0.7515667188864796,3,0.0
20816,-0.8774779040343403,3,0.0
20818,-0.7978974165275919,3,0.0
20819,-1.189384327759493,12,0.0
20821,-1.2482008728295777,18,0.0
20822,-0.8774779040343403,3,0.0
20826,-1.1390802400919524,3,0.0
20829,-0.731901728541232,3,0.0
20830,-0.7035743868923872,3,0.0
20831,-0.7035743868923872,3,0.0
20833,-1.1972008943052077,13,0.0
20834,-1.2482008728295777,18,0.0
20835,-0.7478145419591445,3,0.0
20836,-0.7478145419591445,3,0.0
20837,-0.7478145419591445,3,0.0
20838,-1.2907356427400078,14,0.0
20839,-1.1390802400919524,3,0.0
20840,-0.7800507436710162,3,0.0
20842,-0.7281384698554955,3,0.0
20843,-0.9855633736145523,3,0.0
20845,-0.7925847239862032,3,0.0
20847,-0.7035743868923872,3,0.0
20850,-0.8706371592918785,3,0.0
20851,-0.7800507436710162,3,0.0
20852,-0.7800507436710162,3,0.0
20853,-0.7978974165275919,3,0.0
20854,-0.7978974165275919,3,0.0
20856,-0.7978974165275919,3,0.0
20857,-0.7201488551911984,3,0.0
20858,-0.7201488551911984,3,0.0
20859,-1.2527380345518735,20,0.0
20862,-1.1971980435076959,14,0.0
20863,-1.1390802400919524,3,0.0
20865,-1.252736815490376,20,0.0
20866,-0.7925847239862032,3,0.0
20867,-0.7925847239862032,3,0.0
20868,-0.8919781108241467,3,0.0
20869,-0.7032580074935438,3,0.0
