,t_spike,l_spike,t_seizure,l_seizure,t_lpd,l_lpd,t_gpd,l_gpd,t_lrda,l_lrda,t_grda,l_grda
t_spike,1.0,-0.041836950717694485,0.06842288159844219,-0.044707139374097454,-0.02039776420642109,-0.19149354002081173,-0.05464073413926717,-0.2744022514109289,-0.04639347524357264,-0.22571667642144483,0.0017260221351010766,-0.15345241130170026
l_spike,-0.041836950717694485,1.0,-0.33327204855410997,0.354018687367805,0.11105708571335844,0.47025,0.3000542435965262,0.47025,0.24225674486068138,0.47025,-0.044944107812773144,0.47025
t_seizure,0.06842288159844219,-0.33327204855410997,1.0,0.1534089841077956,0.009012997723964848,-0.06111451872289553,0.005449398180869721,-0.08215315012838578,0.014811685865165802,0.026983311132937303,0.03869982957802223,0.06964899248821264
l_seizure,-0.044707139374097454,0.354018687367805,0.1534089841077956,1.0,0.06400941965674159,0.2818912808114932,0.10729837206168921,0.35029881249195655,0.13175888680865977,0.47025,0.0819332190775719,0.47025
t_lpd,-0.02039776420642109,0.11105708571335844,0.009012997723964848,0.06400941965674159,1.0,0.14184738085115792,0.05885246877122921,0.14683715465577935,0.05639869075800628,0.13279232704879346,0.05596422674451242,0.12061963393855285
l_lpd,-0.19149354002081173,0.47025,-0.06111451872289553,0.2818912808114932,0.14184738085115792,1.0,0.18506838284994306,0.47025,0.1617957755197211,0.47025,0.1438797197874646,0.47025
t_gpd,-0.05464073413926717,0.3000542435965262,0.005449398180869721,0.10729837206168921,0.05885246877122921,0.18506838284994306,1.0,0.2629024306005984,0.09192055406791165,0.20633762142329584,0.07475418176111538,0.17689009443353704
l_gpd,-0.2744022514109289,0.47025,-0.08215315012838578,0.35029881249195655,0.14683715465577935,0.47025,0.2629024306005984,1.0,0.206483643686923,0.47025,0.16841397045249143,0.47025
t_lrda,-0.04639347524357264,0.24225674486068138,0.014811685865165802,0.13175888680865977,0.05639869075800628,0.1617957755197211,0.09192055406791165,0.206483643686923,1.0,0.24293998172294567,0.07438744194748184,0.1933184420074878
l_lrda,-0.22571667642144483,0.47025,0.026983311132937303,0.47025,0.13279232704879346,0.47025,0.20633762142329584,0.47025,0.24293998172294567,1.0,0.1270225392188569,0.47025
t_grda,0.0017260221351010766,-0.044944107812773144,0.03869982957802223,0.0819332190775719,0.05596422674451242,0.1438797197874646,0.07475418176111538,0.16841397045249143,0.07438744194748184,0.1270225392188569,1.0,0.15620251135284902
l_grda,-0.15345241130170026,0.47025,0.06964899248821264,0.47025,0.12061963393855285,0.47025,0.17689009443353704,0.47025,0.1933184420074878,0.47025,0.15620251135284902,1.0
