seg_id,s_mean,s_sd,n_raters,pos_rate
0,-1.6300523609582878,1.0311358675043134,24,0.0
1,-0.9498749357657614,0.4499763980929552,13,0.07692307692307693
2,-0.8898614640132301,0.10906818371111383,164,0.07926829268292683
3,-0.9645405605266766,0.2231781841441293,58,0.034482758620689655
4,0.04741551043436398,0.04786654735654784,150,0.6
5,-0.6669371130243806,0.08276182267281412,158,0.13924050632911392
6,-1.2700310709305642,0.7665988714931141,8,0.0
7,-0.43376390996848435,0.06278139991891929,157,0.2802547770700637
8,-1.2162367524696855,0.16294840906043362,142,0.06338028169014084
9,-1.2984866993379791,0.7438291328189522,19,0.0
10,-0.8126385737512165,0.10043222068964996,159,0.1069182389937107
11,-0.08109540511560771,0.047557349118731725,177,0.4406779661016949
12,0.30648411569802203,0.05512392017977764,148,0.7635135135135135
13,-0.27505189793354146,0.17378199441146414,21,0.23809523809523808
14,-1.2750831240486027,0.7591625973296627,13,0.0
15,-1.1250022638007653,0.13961682101117195,161,0.055900621118012424
16,-0.5567579827467353,0.07684529854575091,148,0.21621621621621623
17,-0.7277406768187636,0.08266051732038389,175,0.17142857142857143
18,0.13324986378319062,0.06946468022275908,54,0.5740740740740741
19,-1.6017922032521619,0.8776443469854073,19,0.0
20,-1.174196954962903,0.1617319957652685,139,0.06474820143884892
21,-0.09350338809918897,0.05171234023098754,139,0.4172661870503597
22,0.06806250442462584,0.04503437196100116,180,0.6388888888888888
23,-0.46897272778255134,0.20400244698768896,19,0.15789473684210525
24,-1.0704728634598923,0.1277303359353624,177,0.062146892655367235
25,-1.3843441666499468,0.19656023601436262,163,0.06134969325153374
26,0.2226209470834948,0.07862199138924238,41,0.6585365853658537
27,-0.6645766146892654,0.26138214908554264,21,0.09523809523809523
28,-0.6202211276029111,0.24230679366227498,21,0.09523809523809523
29,-0.7818456514908613,0.8956761442000496,5,0.2
30,-1.4939154398576346,0.8312633555936612,21,0.0
31,-1.417829146301313,0.7462389435676805,19,0.0
32,-0.485171414082668,0.06669460817035155,176,0.20454545454545456
33,-1.115792623314183,0.12920447828766637,167,0.08383233532934131
34,-0.4503115353934658,0.06561160724401216,164,0.27439024390243905
35,-0.419194569045269,0.23197441900530888,15,0.13333333333333333
36,-0.9113895808554326,0.11144044160950331,151,0.13245033112582782
37,-1.449838582467335,0.756490455414284,20,0.0
38,-1.2701242103772024,0.7663141944425249,14,0.0
39,-1.0652518925474774,0.11148558293045095,187,0.09090909090909091
40,-0.5848847981250611,0.0754384661959798,163,0.1901840490797546
41,-0.4690465682944714,0.06783956707939665,163,0.2331288343558282
42,-1.620299010166441,0.8241093250521575,25,0.0
43,-0.39571754549346033,0.05646198280853358,188,0.21808510638297873
44,-0.3995981546721488,0.059485662928312436,186,0.2903225806451613
45,-0.8358068895623352,0.10528763582690183,163,0.09815950920245399
46,-1.3821532021059668,0.7720720512008142,21,0.0
47,-1.010290517435115,0.11872849591752804,161,0.09937888198757763
