seg_id,s_mean,s_sd,n_raters,pos_rate
0,-1.4819225364211124,1.118932306139094,24,0.0
1,-0.7395451442809832,0.38368500401647715,13,0.07692307692307693
2,-0.6592314913320962,0.08780829018908128,164,0.07926829268292683
3,-0.7231679696740253,0.1812712744713406,58,0.034482758620689655
4,0.09752774597799457,0.038578134499590896,150,0.6
5,-0.4784462288123388,0.06661464566661796,158,0.13924050632911392
6,-1.05369568240343,0.7406894256429638,8,0.0
7,-0.2902402683869112,0.050533051047307896,157,0.2802547770700637
8,-0.9246950831412466,0.131647964447652,142,0.06338028169014084
9,-1.0729981875517525,0.7217437776883697,19,0.0
10,-0.597483788195192,0.08097922537959762,159,0.1069182389937107
11,-0.00546164484480915,0.03831215527779548,177,0.4406779661016949
12,0.3068566542121564,0.044448398478411914,148,0.7635135135135135
13,-0.16860802467224253,0.1419569666687932,21,0.23809523809523808
14,-1.0572869217140939,0.7344489161636529,13,0.0
15,-0.8486504476497271,0.11230243516457494,161,0.055900621118012424
16,-0.3894504681176892,0.061841746010027863,148,0.21621621621621623
17,-0.5266625402760001,0.06644347208050039,175,0.17142857142857143
18,0.1673691522037251,0.056019495854664,54,0.5740740740740741
19,-1.3887060969756364,0.9119015136826507,19,0.0
20,-0.8896086858831839,0.1305019949707004,139,0.06474820143884892
21,-0.015876348375592188,0.041678425397868334,139,0.4172661870503597
22,0.1143970097472267,0.03628916819218644,180,0.6388888888888888
23,-0.32530030389928677,0.16645886085293668,19,0.15789473684210525
24,-0.8053692813163323,0.1028830262024291,177,0.062146892655367235
25,-1.0693193254762527,0.16119943577984908,163,0.06134969325153374
26,0.23959538439517092,0.06344615933355059,41,0.6585365853658537
27,-0.48825106775663774,0.2151028299243227,21,0.09523809523809523
28,-0.4523758430328673,0.20154471250680797,21,0.09523809523809523
29,-0.6609709679397155,0.8644648720924399,5,0.2
30,-1.278006615318181,0.8334509899965902,21,0.0
31,-1.1740164058440983,0.7772859386374645,19,0.0
32,-0.3323120585972085,0.053744690488988035,176,0.20454545454545456
33,-0.8404718242388688,0.10397616255534009,167,0.08383233532934131
34,-0.3039670001398727,0.05285610709160819,164,0.27439024390243905
35,-0.28659026642050056,0.1879383999812379,15,0.13333333333333333
36,-0.6777379408707297,0.08991783152555771,151,0.13245033112582782
37,-1.2082155202156437,0.740690740018056,20,0.0
38,-1.0537204686675359,0.7405877253821688,14,0.0
39,-0.8019151823304497,0.0898663538615054,187,0.09090909090909091
40,-0.4120788250897256,0.0607178327993267,163,0.1901840490797546
41,-0.31881242931344583,0.054628803232223175,163,0.2331288343558282
42,-1.3830584532319041,0.8265431033125699,25,0.0
43,-0.2596949905305702,0.045471673876927146,188,0.21808510638297873
44,-0.26205313900360167,0.04787407273568036,186,0.2903225806451613
45,-0.6166146903662983,0.08493622396738558,163,0.09815950920245399
46,-1.156267189777497,0.7585213262687821,21,0.0
47,-0.7575602874035017,0.09578200854763742,161,0.09937888198757763
48,-0.5758218615198727,0.07956300912511598,154,0.14285714285714285
49,-0.1255002824012542,0.04408884898760918,150,0.38
50,-1.5024727206478836,0.986913226312408,12,0.0
51,-1.165595036486996,0.7136153252832723,14,0.0
52,-0.7279551877257209,0.09718815459731531,152,0.09868421052631579
53,-0.8955329347393125,0.11200210570800487,185,0.06486486486486487
54,-1.445202755823063,0.9295128165309482,17,0.0
55,-0.6812779734953596,0.08058549263817796,176,0.10227272727272728
56,-0.737941147326972,0.08816927103280359,176,0.11363636363636363
57,-1.1592367332256852,0.1427868169773822,179,0.05027932960893855
58,-1.5469254804582913,0.9226791011158784,16,0.0
59,-1.1581035480314854,0.6998712407444695,15,0.0
60,-1.034834526636421,0.1453348058352161,169,0.05325443786982249
61,-0.5651084805370717,0.06991823199259922,179,0.16201117318435754
62,-0.3917497046271843,0.0556821315590191,180,0.2388888888888889
63,-0.3851492204776019,0.05673592040227134,172,0.23255813953488372
64,-0.7813013049013314,0.3107748316009656,19,0.10526315789473684
65,-0.13300761368144162,0.06642623329868844,44,0.2727272727272727
66,-1.1905886327638484,0.7854250958407849,14,0.0
67,-1.3096749800010168,0.19013804162733988,158,0.0379746835443038
68,0.29910442188311864,0.039917484928159254,168,0.7380952380952381
69,-1.4602617446908428,1.125307735287306,15,0.0
70,-0.5435255100317787,0.06918997438014879,182,0.17032967032967034
71,-1.0588673244980737,0.732878630952009,12,0.0
72,-1.603681299584216,0.9083601106784109,22,0.0
