cand_id,tier,true_t_spike,true_ell_spike,hat_t_spike,hat_ell_spike,sd_t_spike,sd_ell_spike,n_trials_spike,decision_spike,true_t_seizure,true_ell_seizure,hat_t_seizure,hat_ell_seizure,sd_t_seizure,sd_ell_seizure,n_trials_seizure,decision_seizure,true_t_lpd,true_ell_lpd,hat_t_lpd,hat_ell_lpd,sd_t_lpd,sd_ell_lpd,n_trials_lpd,decision_lpd,true_t_gpd,true_ell_gpd,hat_t_gpd,hat_ell_gpd,sd_t_gpd,sd_ell_gpd,n_trials_gpd,decision_gpd,true_t_lrda,true_ell_lrda,hat_t_lrda,hat_ell_lrda,sd_t_lrda,sd_ell_lrda,n_trials_lrda,decision_lrda,true_t_grda,true_ell_grda,hat_t_grda,hat_ell_grda,sd_t_grda,sd_ell_grda,n_trials_grda,decision_grda,true_t_other,true_ell_other,hat_t_other,hat_ell_other,sd_t_other,sd_ell_other,n_trials_other,decision_other,n_trials_total
0,expert,0.043513463612776304,1.648300998438029,0.05203963655181194,1.0733853351770524,0.1553066779316198,0.4543990578831019,12,pass,0.19401574864335197,2.037943907065302,0.11799712727700415,1.496611965838214,0.14606620762604014,0.5150479260242736,10,pass,-0.14782261164380336,1.8636258276454276,-0.13680323931366806,1.3915230977246622,0.12558843286461194,0.5069791610569828,11,pass,0.11869558453391978,2.065981292079477,0.0024254135021915843,1.6387809276986798,0.13858870667952994,0.5278279350796372,10,pass,-0.1430925997220755,1.9006515348052506,-0.10784428625671026,1.3020187191242023,0.16346996979125533,0.47622085296249533,12,pass,-0.15073147294139,2.0578472211129353,-0.0753648740510334,1.2912559854535284,0.18021910559925552,0.4772022699153384,12,pass,0.26273390809955965,2.0545859121918637,0.15831101304268147,1.3457418737660027,0.15884844356812966,0.5050272704739286,10,pass,77
1,expert,-0.03942554474862539,1.5519964354957563,0.06573835581580076,1.0757136048777942,0.23574097861626137,0.4802763679768781,11,pass,-0.12399654580562076,1.633791414150333,-0.15503513857131712,1.483862800334543,0.16692930015236176,0.5111957810927297,10,pass,0.2904423850795021,1.7746944944250431,0.07035084263124222,1.2724127092090125,0.15901298527804708,0.42747172002924055,15,pass,-0.1430564802796102,1.3894619135233441,0.0782309186595186,1.1298299894409884,0.16204923534535537,0.44880802894483973,13,pass,-0.0957319978711994,1.730325807007407,-0.05773594558345943,1.262162232925757,0.17622965235771537,0.46396716318161524,13,pass,-0.3192222717320645,1.8013754677087361,-0.147791949937828,1.4313759668764232,0.15590859202804092,0.5402962488722195,10,pass,0.035120239931086004,1.8437614153084987,0.07385942233165337,1.6392679175210538,0.15026786770392644,0.5318867459664937,10,pass,82
2,expert,0.02545446403917408,1.552995114382664,-0.0025154421788759693,0.9218992271686627,0.16373886985324307,0.3923363169985017,16,pass,-0.15107595959153522,1.7544264795032352,-0.15454186797292643,1.4804533650014586,0.14902130399470925,0.5122272104407047,10,pass,0.38403673929342713,1.7975866075480134,0.12563674836463237,1.525098816974899,0.14870144132880006,0.5243429131596297,10,pass,0.25305318964655826,1.7567688309669438,0.06707937960264927,1.5787513059691332,0.14713893931660382,0.520276006218921,10,pass,0.33742151864063763,1.5248444932361744,0.14832778160760618,1.4662234067844981,0.14491964532451643,0.5084680333024305,10,pass,-0.2725544058490955,1.657091972691968,-0.09731888689818144,1.1617308223030276,0.14450306372244145,0.40266659097748786,20,pass,-0.1980523602795456,2.0258499657606115,-0.18513114721228835,1.3820341057564671,0.14963135757827803,0.4952516429553155,11,pass,87
3,expert,-0.15739052032959266,1.4216939080800306,0.027345930686524873,1.2666296367269625,0.2256491920096016,0.5059823139562589,10,pass,0.015100379595238196,1.630867885657527,0.000466025279679722,1.1680897550142852,0.14412383581242572,0.41024201303986946,15,pass,-0.07554335599959143,1.6765727493310683,0.0029938637543196404,1.6664701841495095,0.14585623183446533,0.5222135731381176,10,pass,0.21450417505096483,1.4169360420508619,0.07927310395023601,1.1217693549807768,0.18791113515984903,0.4457661527791131,13,pass,0.27500064356315546,1.4977565160715707,0.22447762341360208,1.2258089005921458,0.14493435998227913,0.43124083551598885,14,pass,-0.16992646367689535,1.5494372565846743,0.008314875134902311,1.129595032555253,0.1450348603222933,0.36483251315140086,22,pass,-0.15759621869643003,1.6864868752518827,0.12765565000769102,1.3098122862590371,0.15807286090523776,0.5013273714276508,10,pass,94
4,expert,-0.08210581334213048,1.6799254977974303,0.01784633977893588,1.1691225717929188,0.14734725051444122,0.48977718357253264,11,pass,0.38508376315348114,1.7055180076096366,0.25115360484972893,1.1350214560479184,0.1460248916514035,0.40685621165487146,16,pass,-0.10557146895788083,1.8360677910634866,-0.11463181020150438,1.4608357845285465,0.11356721624085317,0.4889334166889006,12,pass,0.1786478989498873,1.691293344988696,0.1672421827991971,1.3024000352877234,0.18260529485296184,0.5017404484368678,10,pass,0.3522844735349623,1.7714102621128847,0.13763597862125967,1.4763544306921819,0.15524255436182655,0.5119973911021796,10,pass,0.11310357761542907,2.0895746488215767,0.0030219477853472886,1.6863119660568047,0.12616271217215114,0.5327846522568652,10,pass,-0.014969491716000172,1.6827547104477238,-0.012078492227947131,1.1545032800662762,0.14445822989128004,0.4161930945382249,15,pass,84
5,expert,-0.3834105110234857,1.3531729944633653,-0.18817818451163448,1.3339827678456164,0.1693166833063164,0.5020493865294893,10,pass,0.4418162677105743,1.408462164426171,0.34043850907045387,0.981573184663815,0.12106817258277076,0.30241200296438486,29,pass,0.2958866615662787,1.539017309551791,0.16396509338606502,1.1937127090982025,0.13330221337571227,0.3669549762614191,20,pass,0.028523691590510287,1.4325801996364211,-0.007517509716265012,1.1126842461218571,0.15488482933470657,0.44058785784164967,14,pass,0.39713880576482136,1.295700379187581,0.18383547157387145,0.9628116192625651,0.13503695206318078,0.28953212246742666,33,pass,-0.16197892285188875,1.2100284478046783,-0.037036866243242934,1.205345661790881,0.15692546095310367,0.39437366445092775,19,pass,0.2604331385202784,1.5416223102703241,-0.0515375474583375,1.004664412002346,0.12333497339602358,0.3146067972374336,26,pass,151
6,expert,0.04570079192538776,1.6970624956415195,0.0027321758452773454,1.114043050138718,0.21991748198365635,0.4928563604416186,10,pass,0.001373516954610069,2.360182812643717,-0.04925881696487242,1.2899531300598952,0.18086744205375715,0.4847084027704981,11,pass,0.15784225332769852,1.9680708946164178,0.0064119971041420205,1.3224230483499044,0.1662363762858401,0.4731757704958351,12,pass,-0.06157699815402661,1.3166252514968917,0.031523230997807614,1.1279612252674232,0.16229562683370743,0.43804294452164005,14,pass,0.18251980340583723,1.621110504168206,0.13464811857761422,1.0224743411874608,0.1176450726395705,0.3198550628855908,25,pass,0.3084090365731265,1.6748771203859512,0.16427851218677253,1.4263604082711212,0.1774009460440544,0.5077146993100461,10,pass,-0.006884624413026114,1.6780786964326366,-0.1374588869077575,1.3202528813280678,0.1586874961141446,0.5105808097137836,10,pass,92
7,expert,-0.28941026189051144,1.680192752338772,0.08910570376678553,0.9903617505258375,0.19495051948579356,0.418852056280434,15,pass,-0.308074585367471,1.773855176233754,-0.13395302595512562,1.0722531112977463,0.13285576661721,0.3542866658317937,20,pass,0.20721084950492064,1.5184717252307924,0.14257070506928596,1.4178041191015547,0.15777406514083295,0.5153706874016505,10,pass,0.38867633036781646,1.6306866093989463,0.26121844961271645,1.2449120221953227,0.15493851032397501,0.47125220576342414,12,pass,0.24446775285078606,1.979981439583703,0.1429977008910833,1.328856470329841,0.18475123762751963,0.5095780360551629,10,pass,-0.4564554897326124,2.034407650465779,-0.37111295025078644,0.8679390984091531,0.11600762871156398,0.30054678512544086,120,refer,0.05335847912661576,2.274637839445991,-0.04271293269690298,1.1555569236569023,0.14356362191622496,0.4081298851638682,15,pass,202
8,expert,0.32736097614874576,1.407367791353383,0.13364729088488017,0.8359653507704998,0.18641013015755767,0.3378392903858455,22,pass,-0.17700260945070773,1.7031555739014121,-0.15645736812725955,1.3276778018276028,0.13451829284084113,0.48965802544571113,11,pass,0.11627686371560382,1.668543656756653,-0.017224030637929964,1.2971435746105002,0.14913695348451478,0.43268639140021753,14,pass,0.19074258349106166,1.7110592286579085,0.043542628684965744,1.1212233590859044,0.15737906556552694,0.44361831445321226,13,pass,0.20210350292273682,1.4988687761450081,0.2123109269903093,1.3110172336341512,0.1440268974750752,0.43702927956200105,14,pass,-0.13421603416452563,1.8227427059609704,-0.10401915902881058,1.426597726360723,0.14035240795063758,0.4868519304955155,11,pass,0.01423537936932541,1.5093885170840102,0.10435387421783977,1.0625343161001133,0.1379913758592225,0.3616570720804314,20,pass,105
9,expert,-0.03437488200199183,1.6820461681689165,-0.10897247347719412,1.3367129600688434,0.12383414680804872,0.5225899120700188,10,pass,-0.019321830495894574,1.8985332224367837,0.12345278977416349,1.3587574058774645,0.13626702431292173,0.516146676355661,10,pass,0.15949389896047833,1.477231223733513,0.11853604181431479,1.517863139773205,0.14253578992428698,0.5248405975768856,10,pass,-0.1391419272503341,1.6382097255940387,-0.11867663854212818,1.396262115976134,0.1435159235530578,0.5238960313150637,10,pass,0.4181963264875493,1.9720882387670915,0.2420341001467437,1.1363824133976423,0.12321385912545015,0.3654340746214978,20,pass,-0.13244277676875035,1.3250905093405354,-0.161484429233818,0.8768737402038981,0.0837139897440015,0.23414126674396596,88,pass,-0.22217993749705223,1.570144861982318,-0.14252937716033606,1.3567855950558907,0.1537074089443564,0.5083404688515646,10,pass,158
