tier,task,decision,n_per_task,ell_hat,ell_true,total_trials,candidate_id
expert,spike,fail,13,-0.017416744438089483,0.12827588707165574,437,0
expert,seizure,refer,120,1.1383748390863557,1.3092811526053174,437,0
expert,lpd,refer,120,0.1771255384646154,-0.7431399572824786,437,0
expert,gpd,refer,120,0.3383927838574989,-0.4061578227220488,437,0
expert,lrda,pass,53,0.41908458043570457,-0.3657345649889401,437,0
expert,grda,fail,11,-0.23315540556296632,-0.7005773218341131,437,0
expert,spike,fail,11,-0.19824762366971702,-0.8105711673912138,192,1
expert,seizure,refer,120,1.0053706656440564,1.25451000947748,192,1
expert,lpd,fail,24,-0.2350650218664021,-0.687636374037573,192,1
expert,gpd,pass,11,0.9364589034499059,-0.5289700084176479,192,1
expert,lrda,fail,16,-0.5611328314877739,-0.7991265321509077,192,1
expert,grda,fail,10,-0.17255863528154752,-0.9918354459832164,192,1
expert,spike,refer,120,0.7072099300169457,0.04094700205877275,327,2
expert,seizure,fail,12,0.30860640110200954,-0.1699389306609731,327,2
expert,lpd,fail,22,-0.1497068803358913,-0.8918693330080798,327,2
expert,gpd,fail,34,-0.11870994127489617,-0.8181398358300681,327,2
expert,lrda,refer,120,0.040139755586813916,-1.0034905175400448,327,2
expert,grda,fail,19,0.05577134034987336,-1.040338213438193,327,2
expert,spike,fail,73,0.3803205098404363,0.14348801113701715,498,3
expert,seizure,refer,120,1.0261926431803703,1.0376721078543751,498,3
expert,lpd,refer,120,0.3476014727134844,-0.6106395905249008,498,3
expert,gpd,fail,82,-0.00916807876007647,-0.5915340425510752,498,3
expert,lrda,pass,87,0.3456479978182419,-0.8507744647255059,498,3
expert,grda,fail,16,0.06527038791716067,-0.2183307417970871,498,3
expert,spike,fail,65,0.36345941388690894,-0.07110050129624075,297,4
expert,seizure,pass,55,1.2919301648649808,1.3853058579685795,297,4
expert,lpd,refer,120,0.31522188301987436,-0.5186336603391681,297,4
expert,gpd,fail,21,-0.34957344748829067,-0.5300508538320319,297,4
expert,lrda,pass,11,0.7725555340533131,-0.39676030628976,297,4
expert,grda,fail,25,0.07501185925639453,-0.6238234274622426,297,4
expert,spike,fail,31,0.2412770335679564,-0.06734923147642961,220,5
expert,seizure,refer,120,0.9385760943543647,0.8364033299727678,220,5
expert,lpd,pass,26,0.7992709002530192,-0.5124668212723965,220,5
expert,gpd,fail,14,-0.3361944133496803,-0.6013009286932742,220,5
expert,lrda,pass,18,0.6588674908233055,-0.5140396292862596,220,5
expert,grda,fail,11,-0.08947302400859776,-0.7270858391557915,220,5
expert,spike,refer,120,0.6715097013834049,0.18155209086176194,350,6
expert,seizure,fail,57,0.6143090079504633,0.8413840480346416,350,6
expert,lpd,pass,23,0.8319251292139039,1.277529645660842,350,6
expert,gpd,pass,18,0.8018596813485346,0.4970619292381865,350,6
expert,lrda,pass,12,0.7660466860267091,0.3880042774304663,350,6
expert,grda,refer,120,0.7459101477883724,0.8286149852256083,350,6
expert,spike,fail,16,0.07798447585765571,-0.18540739883778778,192,7
expert,seizure,fail,10,0.25906161086156926,-0.7524604341983469,192,7
expert,lpd,refer,120,0.27728422570810807,-0.6017750660091311,192,7
expert,gpd,pass,26,0.7632773403463295,-0.5980598772127349,192,7
expert,lrda,fail,10,-0.9429455006828013,-1.8564990722467176,192,7
expert,grda,fail,10,-0.16622967326780458,-1.0241930990854002,192,7
expert,spike,pass,40,1.0564441795566073,0.9668155134718122,365,8
expert,seizure,refer,120,0.9274451805279665,1.0542071899268095,365,8
expert,lpd,refer,120,0.25244011599901234,-0.5674198524941826,365,8
expert,gpd,fail,17,-0.3374347372908596,-0.6399897385908324,365,8
expert,lrda,pass,50,0.4164610933531607,-0.733700737789158,365,8
expert,grda,fail,18,0.026620369183269606,-0.7801685743674598,365,8
expert,spike,fail,27,0.1998035763049576,-0.4547813461097093,350,9
expert,seizure,refer,120,1.0585884636805185,1.1275182535029484,350,9
