task,seg_id,s_mean,s_sd,n_raters,pos_rate
spike,0,-1.6300523609582878,1.0311358675043134,24,0.0
spike,1,-0.9498749357657614,0.4499763980929552,13,0.0769230769230769
spike,2,-0.8898614640132301,0.1090681837111138,164,0.0792682926829268
spike,3,-0.9645405605266766,0.2231781841441293,58,0.0344827586206896
spike,4,0.0474155104343639,0.0478665473565478,150,0.6
spike,5,-0.6669371130243806,0.0827618226728141,158,0.1392405063291139
spike,6,-1.2700310709305642,0.7665988714931141,8,0.0
spike,7,-0.4337639099684843,0.0627813999189192,157,0.2802547770700637
spike,8,-1.2162367524696855,0.1629484090604336,142,0.0633802816901408
spike,9,-1.2984866993379791,0.7438291328189522,19,0.0
spike,10,-0.8126385737512165,0.1004322206896499,159,0.1069182389937107
spike,11,-0.0810954051156077,0.0475573491187317,177,0.4406779661016949
spike,12,0.306484115698022,0.0551239201797776,148,0.7635135135135135
spike,13,-0.2750518979335414,0.1737819944114641,21,0.238095238095238
spike,14,-1.2750831240486027,0.7591625973296627,13,0.0
spike,15,-1.1250022638007653,0.1396168210111719,161,0.0559006211180124
spike,16,-0.5567579827467353,0.0768452985457509,148,0.2162162162162162
spike,17,-0.7277406768187636,0.0826605173203838,175,0.1714285714285714
spike,18,0.1332498637831906,0.069464680222759,54,0.5740740740740741
spike,19,-1.601792203252162,0.8776443469854073,19,0.0
spike,20,-1.174196954962903,0.1617319957652685,139,0.0647482014388489
spike,21,-0.0935033880991889,0.0517123402309875,139,0.4172661870503597
spike,22,0.0680625044246258,0.0450343719610011,180,0.6388888888888888
spike,23,-0.4689727277825513,0.2040024469876889,19,0.1578947368421052
spike,24,-1.0704728634598923,0.1277303359353624,177,0.0621468926553672
spike,25,-1.3843441666499468,0.1965602360143626,163,0.0613496932515337
spike,26,0.2226209470834948,0.0786219913892423,41,0.6585365853658537
spike,27,-0.6645766146892654,0.2613821490855426,21,0.0952380952380952
spike,28,-0.6202211276029111,0.2423067936622749,21,0.0952380952380952
spike,29,-0.7818456514908613,0.8956761442000496,5,0.2
spike,30,-1.4939154398576346,0.8312633555936612,21,0.0
spike,31,-1.417829146301313,0.7462389435676805,19,0.0
spike,32,-0.485171414082668,0.0666946081703515,176,0.2045454545454545
spike,33,-1.115792623314183,0.1292044782876663,167,0.0838323353293413
spike,34,-0.4503115353934658,0.0656116072440121,164,0.274390243902439
