task,ell_star,youden_j,auroc_expert_vs_nonexpert,n_experts,n_non_experts
spike,0.6236226969038786,0.6132769901853872,0.8471748909487459,28,1048
seizure,0.9762201196288276,0.46577393685291346,0.8093608282707282,58,806
lpd,0.4163624273991879,0.8940149625935162,0.9601413133832086,30,802
gpd,1.5254441123871083,0.885997521685254,0.929946303180504,30,807
lrda,0.6156819394780378,0.7866004962779156,0.9336466882992938,52,806
grda,1.44823147849892,0.8281222202455079,0.9485856609144281,56,803
other,0.0499391981936062,0.8060075093867334,0.9243005369615245,31,799
