seg_id,s_mean,s_sd,n_raters,pos_rate
20523,-0.7191018039233147,0.4860960709571094,13,0.0
20524,-0.7730089120966585,0.5419829954425603,21,0.0
20527,-0.7730089120966585,0.5419829954425603,21,0.0
20528,-0.7730089120966585,0.5419829954425603,21,0.0
20532,-0.7730089120966585,0.5419829954425603,21,0.0
20533,-0.7730089120966585,0.5419829954425603,21,0.0
20534,-0.7288805747495366,0.47920844767249143,20,0.0
20535,-0.7288805747495366,0.47920844767249143,20,0.0
20537,-0.7288805747495366,0.47920844767249143,20,0.0
20541,-0.7177283656081976,0.48576160681640324,12,0.0
20542,-0.7288805747495366,0.47920844767249143,20,0.0
20544,-0.7309681752004973,0.47953387293882893,19,0.0
20545,-0.7263845576137478,0.4816991555334268,17,0.0
20546,-0.711241947112283,0.4787893938181296,11,0.0
20547,-0.7288805747495366,0.47920844767249143,20,0.0
20548,-0.41559206774673174,0.05754953806269736,20,0.1
20549,-0.7177283656081976,0.48576160681640324,12,0.0
20551,-0.7288805747495366,0.47920844767249143,20,0.0
20552,-0.34063562245404555,0.059828553445845256,13,0.15384615384615385
20554,-0.7288805747495366,0.47920844767249143,20,0.0
20558,-0.7255614750775433,0.48274967674698477,15,0.0
20560,-0.4555701634703791,0.07203509853442383,17,0.058823529411764705
20561,-0.7255614750775433,0.48274967674698477,15,0.0
20563,-0.4400072889351359,0.07571008462952243,13,0.07692307692307693
20564,-0.7255614750775433,0.48274967674698477,15,0.0
20565,-0.7191018039233147,0.4860960709571094,13,0.0
20566,-0.7191018039233147,0.4860960709571094,13,0.0
20567,-0.7325546147993074,0.5367120742727752,13,0.0
20568,-0.7288805747495366,0.47920844767249143,20,0.0
20571,-0.7263845576137478,0.4816991555334268,17,0.0
20572,-0.7255614750775433,0.48274967674698477,15,0.0
20573,-0.7288805747495366,0.47920844767249143,20,0.0
20574,-0.7177283656081976,0.48576160681640324,12,0.0
20579,-0.46876642409621366,0.07200288878325928,20,0.05
20582,-0.4555701634703791,0.07203509853442383,17,0.058823529411764705
20583,-0.7288805747495366,0.47920844767249143,20,0.0
20585,-0.7288805747495366,0.47920844767249143,20,0.0
20586,-0.7177283656081976,0.48576160681640324,12,0.0
20588,-0.7177283656081976,0.48576160681640324,12,0.0
20591,-0.7255614750775433,0.48274967674698477,15,0.0
20592,-0.7325546147993074,0.5367120742727752,13,0.0
20593,-0.711241947112283,0.4787893938181296,11,0.0
20599,-0.3367489349266665,0.0943886823381043,4,0.25
20602,-0.7191018039233147,0.4860960709571094,13,0.0
20605,-0.7465758149644968,0.5254357611518213,18,0.0
20607,-0.7255614750775433,0.48274967674698477,15,0.0
20621,-0.74698893607357,0.5247947792200008,19,0.0
20636,-0.7392743739317759,0.53676696718207,15,0.0
20670,-0.5909164099781433,0.5255393489089711,3,0.0
20695,-0.7325546147993074,0.5367120742727752,13,0.0
20704,-0.7325546147993074,0.5367120742727752,13,0.0
20706,-0.24572903314235467,0.042292084583877995,19,0.3684210526315789
20708,-0.7392743739317759,0.53676696718207,15,0.0
20717,-0.7465758149644968,0.5254357611518213,18,0.0
20720,-0.7310081229878282,0.5385083708132837,12,0.0
20723,-0.6263151632073056,0.535028151966613,3,0.0
20724,-0.6263151632073056,0.535028151966613,3,0.0
20725,-0.6263151632073056,0.535028151966613,3,0.0
20726,-0.22831080225343175,0.049512527674342895,13,0.38461538461538464
20733,-0.34305460426198714,0.060222938045586025,13,0.15384615384615385
20767,-0.36486794620961843,0.06410488185427603,13,0.15384615384615385
20771,-0.01851226357995663,0.06087361147539536,19,0.8947368421052632
20777,-0.3759380393375168,0.05551852962976698,18,0.1111111111111111
20778,-0.4308420906313921,0.08091876376073645,13,0.07692307692307693
20779,-0.6660533206176066,0.05181419842810611,22,0.13636363636363635
20786,-0.7325546147993074,0.5367120742727752,13,0.0
20788,-0.7465758149644968,0.5254357611518213,18,0.0
20790,-0.662152234644442,0.5205855959379815,4,0.0
20793,-0.662152234644442,0.5205855959379815,4,0.0
20795,-0.7325546147993074,0.5367120742727752,13,0.0
20796,-0.662152234644442,0.5205855959379815,4,0.0
20806,-0.6263151632073056,0.535028151966613,3,0.0
20807,-0.6263151632073056,0.535028151966613,3,0.0
20808,-0.6263151632073056,0.535028151966613,3,0.0
20819,-0.7310081229878282,0.5385083708132837,12,0.0
20821,-0.7465758149644968,0.5254357611518213,18,0.0
20829,-0.6263151632073056,0.535028151966613,3,0.0
20831,-0.628795494726473,0.0312912907170323,25,0.12
20833,-0.7325546147993074,0.5367120742727752,13,0.0
20834,-0.7465758149644968,0.5254357611518213,18,0.0
20838,-0.7325546147993074,0.5367120742727752,13,0.0
20842,-0.6694512850746526,0.6535800581498041,3,0.0
20851,-0.5956056409545614,0.027197200924231262,23,0.13043478260869565
20857,-0.5909164099781433,0.5255393489089711,3,0.0
20858,-0.5909164099781433,0.5255393489089711,3,0.0
20859,-0.74698893607357,0.5247947792200008,19,0.0
20862,-0.7325546147993074,0.5367120742727752,13,0.0
20865,-0.74698893607357,0.5247947792200008,19,0.0
20868,-1.6010697736715223,0.8315113886589589,24,0.0
20870,-0.7465758149644968,0.5254357611518213,18,0.0
20875,-0.6014213324545971,0.02643321034495445,21,0.19047619047619047
20880,-0.5287266804947924,0.024237134173007133,24,0.375
20881,-0.7392743739317759,0.53676696718207,15,0.0
20883,-0.8150324577765092,0.2015413959125527,24,0.08333333333333333
20891,-0.42750033518756453,0.078455159272192,14,0.07142857142857142
20892,-0.74698893607357,0.5247947792200008,19,0.0
20893,-0.7191018039233147,0.4860960709571094,13,0.0
20894,-0.7385697086727732,0.5382948806375871,14,0.0
20896,-0.7255614750775433,0.48274967674698477,15,0.0
20898,-0.7288805747495366,0.47920844767249143,20,0.0
20900,-0.6824138386175387,0.0756088643796478,39,0.05128205128205128
20901,-0.7288805747495366,0.47920844767249143,20,0.0
20903,-0.7263845576137478,0.4816991555334268,17,0.0
