task,seg_id,s_mean,s_sd
spike,148,-2.151558638,0.562024951
spike,149,-1.191317201,0.2890613973
spike,150,-1.8986063,1.128462911
spike,151,-1.61814785,0.947783649
spike,152,-1.278564215,0.3545140922
spike,153,-0.5425646305,0.1748672426
spike,154,-1.733724475,1.175828338
spike,155,-1.966022611,0.4334323406
spike,156,-1.39690733,0.5147694349
spike,157,-0.5564574003,0.1915114522
spike,158,-0.4153084457,0.1413075626
spike,159,-1.28681767,0.8230921626
spike,160,-0.3773824275,0.1389767528
spike,161,-1.944216847,0.4936331809
spike,162,-0.4052364528,0.1486078799
spike,163,-2.271931887,0.5980852246
spike,164,-1.221389532,0.2910656631
spike,165,-0.8652650118,0.2454826981
spike,166,-1.654111981,0.3497571349
spike,167,-1.819085836,1.096047163
spike,168,-2.286222219,0.5653841496
spike,169,-0.266662091,0.1542989612
spike,170,-2.035645962,1.112330675
spike,171,-2.041772127,1.221488476
spike,172,-0.9270077944,0.1851512045
spike,173,-1.32559526,1.07965374
spike,174,-1.893114805,1.146566987
spike,175,-1.993703008,0.8538454771
spike,176,-1.911497593,1.320150375
spike,177,-1.942208648,1.196932077
spike,178,-1.389899015,0.3129823506
spike,179,-1.451834559,0.3192469478
spike,180,-1.815361381,1.198351145
spike,181,-1.70042944,0.3506439924
spike,182,-2.367253542,0.5903336406
spike,183,-1.994663119,1.095089197
spike,184,-0.4262299836,0.1478501856
spike,185,-1.9005481,1.201368093
spike,186,-2.024338484,1.212830663
spike,187,-0.6179794073,0.1463499516
spike,188,-0.6209880114,0.1495833248
spike,189,-1.434639812,0.3596252799
spike,190,-1.79244411,1.22879076
spike,191,-1.821230531,1.293647528
spike,192,-1.833372116,1.166955471
spike,193,-2.14661932,1.235986114
spike,194,-1.744048476,1.180138707
spike,195,-0.5276995301,0.1340374351
spike,196,-1.820718408,1.270511627
spike,197,-1.70103097,1.145038486
spike,198,-1.327691436,0.2667378187
spike,199,-1.806587458,1.211010814
spike,200,-1.531749487,0.9325928092
spike,201,-1.38422513,0.8573719859
spike,202,-1.865581393,1.219633818
spike,203,-1.983894229,1.254080176
